Iter,normal,RAND,double,dueling
473,2,0,2,
474,2.1,0,2.1,
475,2.2,0,2.2,
476,2.3,0,2.3,
477,2.4,0,2.4,
478,2.5,0,2.5,
479,2.6,0,2.6,
480,2.7,0,2.7,
481,2.8,0,2.8,
482,2.9,0,2.9,
483,3,0,3,
484,3.1,0,3.1,
485,3.2,0,3.2,
486,3.3,0,3.3,
487,3.4,0,3.4,
488,3.5,0,3.5,
489,3.6,0,3.6,
490,3.7,0,3.7,
491,3.8,0,3.8,
492,3.9,0,3.9,
493,4,0,4,
494,4.1,0,4.1,
495,4.3,0,4.3,
496,4.4,0,4.4,
497,4.5,0,4.5,
498,4.6,0,4.6,
499,4.7,0,4.7,
500,4.8,0,4.8,
501,4.9,0,4.9,
502,5,0,5,
503,-1.24E-14,0,-1.24E-14,
504,0.1,0,0.1,
505,0.2,0,0.2,
506,0.3,0,0.3,
507,0.4,0,0.4,
508,0.5,0,0.5,
509,0.6,0,0.6,
510,0.7,0,0.7,
511,0.8,0,0.8,
512,0.9,0,0.9,
513,1,0,1,
514,1.1,0,1.1,
515,1.2,0,1.2,
516,1.3,0,1.3,
517,1.4,0,1.4,
518,1.5,0,1.5,
519,1.6,0,1.6,
520,1.7,0,1.7,
521,1.8,0,1.8,
522,1.9,0,1.9,
523,2,0,2,
524,2.1,0,2.1,
525,2.2,0,2.2,
526,2.3,0,2.3,
527,2.4,0,2.4,
528,2.5,0,2.5,
529,2.6,0,2.6,
530,2.7,0,2.7,
531,2.8,0,2.8,
532,2.9,0,2.9,
533,3,0,3,
534,3.1,0,3.1,
535,3.2,0,3.2,
536,3.3,0,3.3,
537,3.4,0,3.4,
538,3.5,0,3.5,
539,3.6,0,3.6,
540,3.7,0,3.7,
541,3.8,0,3.8,
542,3.9,0,3.9,
543,4,0,4,
544,4.1,0,4.1,
545,4.2,0,4.2,
546,4.3,0,4.3,
547,4.4,0,4.4,
548,4.5,0,4.5,
549,4.6,0,4.6,
550,4.7,0,4.7,
551,4.8,0,4.8,
552,4.9,0,4.9,
553,-0.1,0,-0.1,
554,-1.30E-14,0,-1.3E-14,
555,0.1,0,0.1,
556,0.2,0,0.2,
557,0.3,0,0.3,
558,0.4,0,0.4,
559,0.5,0,0.5,
560,0.6,0,0.6,
561,0.7,0,0.7,
562,0.8,0,0.8,
563,0.9,0,0.9,
564,1,0,1,
565,1.1,0,1.1,
566,1.2,0,1.2,
567,1.3,0,1.3,
568,1.4,0,1.4,
569,1.5,0,1.5,
570,1.6,0,1.6,
571,1.7,0,1.7,
572,1.8,0,1.8,
573,1.9,0,1.9,
574,2,0,2,
575,2.1,0,2.1,
576,2.2,0,2.2,
577,2.3,0,2.3,
578,2.4,0,2.4,
579,2.5,0,2.5,
580,2.6,0,2.6,
581,2.7,0,2.7,
582,2.8,0,2.8,
583,2.9,0,2.9,
584,3,0,3,
585,3.1,0,3.1,
586,3.2,0,3.2,
587,3.3,0,3.3,
588,3.4,0,3.4,
589,3.5,0,3.5,
590,3.6,0,3.6,
591,3.7,0,3.7,
592,3.8,0,3.8,
593,3.9,0,3.9,
594,4.1,0,4.1,
595,4.2,0,4.2,
596,4.3,0,4.3,
597,4.4,0,4.4,
598,4.5,0,4.5,
599,4.6,0,4.6,
600,4.7,0,4.7,
601,4.8,0,4.8,
602,4.9,0,4.9,
603,5,0,5,
604,5.1,0,5.1,
605,5.2,0,5.2,
606,5.3,0,5.3,
607,5.4,0.541374444,167.8123332,
608,5.5,0.209930107,68.47903198,
609,5.6,0.685579881,211.2739642,
610,5.7,0.235342743,76.30282304,
611,5.8,0.98247908,300.5437241,
612,5.9,0.401024196,126.2072588,
613,0.9,0.07923678,24.6710339,
614,1,0.480359568,145.1078705,
615,1.1,0.914608816,275.4826449,
616,1.2,0.134333616,41.50008493,
617,1.3,0.309559069,94.16772065,
618,1.4,0.892501231,269.1503694,
619,1.5,0.26607277,81.32183098,
620,1.6,0.528599602,160.1798807,
621,1.7,0.860580136,259.8740407,
622,1.8,0.85025978,256.877934,
623,1.9,0.052235256,17.57057686,
624,2,0.569352288,172.8056864,
625,2.1,0.062928698,20.97860925,
626,2.2,0.10699668,34.29900397,
627,2.3,0.714683486,216.7050459,
628,2.4,0.515010413,156.9031238,
629,2.5,0.510446081,155.6338244,
630,2.6,0.094231724,30.86951735,
631,2.7,0.375940773,115.4822319,
632,2.8,0.297559876,92.06796276,
633,2.9,0.118042042,38.31261252,
634,3,0.001179142,3.353742505,
635,3.1,0.925109737,280.632921,
636,3.2,0.612920628,187.0761883,
637,3.3,0.844777372,256.7332115,
638,3.4,0.590448007,180.534402,
639,3.5,0.227491404,71.74742109,
640,3.6,0.134996159,44.09884772,
641,3.7,0.176284761,56.58542832,
642,3.8,0.289462398,90.63871934,
643,3.9,0.420528155,130.0584466,
644,4,0.018782721,9.634816362,
645,4.1,0.135293687,44.68810617,
646,4.2,0.571742914,175.7228743,
647,4.3,0.668989233,204.9967699,
648,4.4,0.745509418,228.0528255,
649,4.5,0.503304289,155.4912867,
650,4.6,0.241238584,76.97157513,
651,4.7,0.191505636,62.15169071,
652,4.8,0.205347805,66.40434136,
653,4.9,0.86713185,265.039555,
654,5,0.595036136,183.5108408,
655,5.1,0.349477687,109.9433061,
656,5.2,0.702811946,216.0435838,
657,5.3,0.833059443,255.2178329,
658,5.4,0.997827839,304.7483517,
659,5.5,0.392184252,123.1552756,
660,5.6,0.688250427,212.0751281,
661,5.7,0.63343464,195.7303921,
662,5.8,0.433140469,135.7421407,
663,5.9,0.121906925,42.47207743,
664,6,0.192970082,63.89102459,
665,6.1,0.687925272,212.4775817,
666,6.2,0.497537826,155.4613478,
667,6.3,0.646574331,200.2722994,
668,6.4,0.357457795,113.6373385,
669,6.5,0.906238802,278.3716406,
670,6.6,0.329722506,105.5167517,
671,1.6,0.937796235,282.9388704,
672,1.7,0.827017712,249.8053135,
673,1.8,0.537982452,163.1947357,
674,1.9,0.842617898,254.6853693,
675,2,0.498497064,151.5491191,
676,2.1,0.888816696,268.7450087,
677,2.2,0.639205947,193.961784,
678,2.3,0.457755104,139.6265312,
679,2.4,0.452811881,138.2435642,
680,2.5,0.443079629,135.4238887,
681,2.6,0.85215157,258.2454709,
682,2.7,0.476615346,145.6846037,
683,2.8,0.413171744,126.7515233,
684,2.9,0.592317304,180.5951912,
685,3,0.954500089,289.3500267,
686,3.1,0.753554972,229.1664916,
687,3.2,0.365359004,112.8077012,
688,3.3,0.80334057,244.3021711,
689,3.4,0.351939392,108.9818176,
690,3.5,0.861613089,261.9839266,
691,3.6,0.459705175,141.5115526,
692,3.7,0.729625653,222.587696,
693,3.9,0.412878467,127.76354,
694,4,0.203401822,65.02054673,
695,4.1,0.297473178,93.3419533,
696,4.2,0.050869506,19.46085183,
697,4.3,0.88572191,270.016573,
698,4.4,0.510518935,157.5556805,
699,4.5,0.696017152,213.3051455,
700,4.6,0.878409992,268.1229975,
701,4.7,0.222190471,71.35714143,
702,4.8,0.657352862,202.0058586,
703,4.9,0.177944471,58.28334124,
704,5,0.077728433,28.31852982,
705,5.1,0.372334361,116.8003083,
706,5.2,0.133337218,45.20116531,
707,5.3,0.871198191,266.6594573,
708,5.4,0.619079348,191.1238045,
709,5.5,0.84147009,257.941027,
710,5.6,0.888766595,272.2299785,
711,5.7,0.259006796,83.40203878,
712,5.8,0.240562954,77.96888634,
713,5.9,0.656133661,202.7400984,
714,6,0.02545361,13.63608312,
715,6.1,0.011542724,9.562817322,
716,6.2,0.797788977,245.5366931,
717,6.3,0.276265892,89.17976753,
718,6.4,0.488062856,152.8188568,
719,6.5,0.458588405,144.0765215,
720,1.5,0.926645496,279.4936489,
721,1.6,0.716773453,216.632036,
722,1.7,0.903941878,272.8825634,
723,1.8,0.469484862,142.6454585,
724,1.9,0.836293361,252.7880082,
725,2,0.35749888,109.2496641,
726,2.1,0.067028798,22.20863937,
727,2.2,0.58050191,176.3505731,
728,2.3,0.545341583,165.902475,
729,2.4,0.819515328,248.2545983,
730,2.5,0.129724177,41.41725303,
731,2.6,0.466264586,142.4793758,
732,2.7,0.577639015,175.9917045,
733,2.8,0.149027367,47.50821006,
734,2.9,0.020206904,8.962071316,
735,3,0.914356613,277.3069838,
736,3.1,0.463902408,142.2707224,
737,3.2,0.97906655,296.9199649,
738,3.3,0.190609208,60.48276229,
739,3.4,0.255714725,80.11441753,
740,3.5,0.437750881,134.8252642,
741,3.6,0.431722109,133.1166327,
742,3.7,0.892057082,271.3171247,
743,3.8,0.047020922,17.9062767,
744,3.9,0.40873239,126.5197169,
745,4,0.057495566,21.24866984,
746,4.1,0.251305697,79.49170898,
747,4.2,0.947824671,288.5474013,
748,4.3,0.788576767,240.87303,
749,4.4,0.705219196,215.9657589,
750,4.5,0.496989831,153.5969493,
751,4.6,0.933243513,284.5730538,
752,4.7,0.042819352,17.54580556,
753,4.8,0.769045832,235.5137496,
754,4.9,0.63740985,196.1229551,
755,5,0.457562158,142.2686474,
756,5.1,0.054168292,21.35048752,
757,5.2,0.995242685,303.7728056,
758,5.3,0.064805232,24.74156945,
759,5.4,0.958518449,292.9555346,
760,5.5,0.011187234,8.856170333,
761,5.6,0.15602412,52.40723585,
762,5.7,0.851664505,261.1993514,
763,5.8,0.75316272,231.7488159,
764,5.9,0.053643922,21.99317647,
765,6,0.963306776,294.9920329,
766,6.1,0.28822111,92.56633292,
767,6.2,0.017059524,11.31785712,
768,6.3,0.051288558,21.68656731,
769,6.4,0.146317687,50.29530615,
770,1.4,0.098434317,30.93029498,
771,1.5,0.997263866,300.6791598,
772,1.6,0.804197413,242.859224,
773,1.7,0.423858409,128.8575227,
774,1.8,0.593011282,179.7033845,
775,1.9,0.963274056,290.8822168,
776,2,0.330967199,101.2901598,
777,2.1,0.889065921,268.8197763,
778,2.2,0.980852287,296.4556862,
779,2.3,0.649932634,197.2797902,
780,2.4,0.398429615,121.9288844,
781,2.5,0.64453899,195.8616969,
782,2.6,0.143573886,45.67216571,
783,2.7,0.670806088,203.9418265,
784,2.8,0.113785181,36.93555419,
785,2.9,0.909257719,275.6773156,
786,3,0.648457999,197.5373998,
787,3.1,0.349061729,107.8185187,
788,3.2,0.197577723,62.47331686,
789,3.3,0.735178107,223.853432,
790,3.4,0.093518189,31.45545662,
791,3.5,0.250408948,78.62268439,
792,3.7,0.98836659,300.209977,
793,3.8,0.662908536,202.6725607,
794,3.9,0.676993193,206.997958,
795,4,0.463402288,143.0206865,
796,4.1,0.679007262,207.8021785,
797,4.2,0.695962446,212.9887339,
798,4.3,0.905220481,275.8661442,
799,4.4,0.759794872,232.3384615,
800,4.5,0.960366015,292.6098045,
801,4.6,0.697508809,213.8526427,
802,4.7,0.890925794,271.9777382,
803,4.8,0.577935611,178.1806834,
804,4.9,0.480089827,148.9269482,
805,5,0.596420667,183.9262001,
806,5.1,0.552159059,170.7477177,
807,5.2,0.064601773,24.58053195,
808,5.3,0.403883362,126.4650085,
809,5.4,0.219431302,71.22939067,
810,5.5,0.313728125,99.61843744,
811,5.6,0.730531966,224.7595897,
812,5.7,0.059684509,23.60535274,
813,5.8,0.046839012,19.85170352,
814,5.9,0.030108324,14.93249728,
